lake_id,area,elev,min_depth,max_depth,mean_depth,x,y
117,35544,55.96316340310233,0.322338339746679,5.509073001085348,1.8812787267506839,554111.5,6296315
118,37921,4.377174990036909,1.45424598816057,8.86008535460724,3.921353507588651,493266,6261872
119,8016810,8.790336652230867,-0.937401560773532,3.3762250226089634,0.5475746590829964,663132.5,6070602
120,131933,42.474190538114904,0.3290224141100566,6.311824300710796,2.9971484008256852,543978.5,6202305.5
121,188587,27.37251161998147,-0.826915811299056,8.843136661350655,2.075041925218724,527306,6304237.5
122,539444,36.00107381495675,-0.8611514547261123,10.622658357234297,4.84116262157426,513555,6135351.5
123,143484,54.121076153480054,0.5592235653280966,4.247678135628412,2.1797064770729477,520758,6198493.5
124,146954,49.11335862707231,0.2979185649277838,1.2583957939668622,0.8311553808159706,690854.5,6131072.5
125,552215,4.225016817754629,-1.202207962576086,8.495293321642109,3.9880793296110704,548815,6101295.5
126,56389,18.031231398159758,0.03646420913387871,8.859582283503382,3.806612591944588,561040.5,6123691.5
127,3491947,13.730706703848462,-1.0040091328428797,21.616677647099607,3.5911190457602666,476397.5,6321221.5
128,217840,1.3867904670477214,-0.36369722733837984,0.13990241847156004,-0.17165705947912016,465842,6305395
129,1057718,0.2745639254520821,0.6778559040668877,1.9687205978352185,1.46543686925328,450346.5,6233785.5
130,680419,40.69117665440618,-0.08046734156843627,5.412087556045755,1.9383675065581625,587906,6111952.5
131,1225155,11.202128366568072,-0.8688683631371266,12.801481998861728,7.1167185108689255,526280.5,6257259.5
132,219060,12.131224713149917,0.760391357228885,2.3247005063136523,1.5668329889506107,594862,6103540
133,91642,36.0379450677668,0.585387253243745,1.8293444805190617,1.1450531146934735,515609,6136890
134,3532909,1.312408883908726,0.3987676189347116,2.59599573703774,1.1557438227184527,464451.5,6301929.5
135,102569,17.308580523823274,1.06360410614964,2.9775383527734327,2.1278236749257897,527431.5,6118746.5
136,141052,33.89189937329548,1.7907425862156003,6.426541931962962,3.8310362053081657,661425,6147570.5
137,1786131,21.885383416239254,-1.1703772510730666,32.979745463238324,15.0099129632037,552365,6218187
138,747353,2.661155555538431,0.05328036589722274,1.8109533980785963,0.6205591196805035,532971,6265847
139,1900640,10.861289223541172,0.26450613698883707,3.2033374722039136,1.0380763297574627,665215,6066614
140,215938,78.5799569876386,-0.15690519497859157,4.626247958458791,2.332365805545082,537239,6202311
141,399835,19.214009732414695,0.12569698836550458,10.831810633737053,4.068463702963423,532251.5,6223459.5
142,835042,55.94535173196844,-0.5145728105099678,8.770124302629313,4.180700593301061,522838.5,6198616
143,48485,73.36244496902549,-0.23381610482543635,7.6874971326813295,2.6337081139016996,527597.5,6208987
144,383894,22.355358802268498,0.6177079181164054,5.189703820541659,2.1765614555201953,547218,6215766
145,98984,40.92408383087324,-0.4410939833273204,13.453305293872585,5.095148784201748,522381.5,6116342
146,2628017,22.81193209738929,-0.9182931729273633,12.113373869448413,3.8995766059267987,539741.5,6213697
147,202939,38.85601119303109,-0.06937364447162508,6.44616145595085,3.3465211247041395,576876.5,6118502
148,152446,34.43747836745916,-0.18250971538302707,0.5025478082325492,0.17081625774470643,587004.5,6127713.5
149,713197,39.13397112357248,0.08136579441708136,6.197004931873032,2.934637699783286,504173.5,6211584.5
150,80667,8.265361744135767,1.1206590192201293,3.0072505211782703,1.6527059788818408,673520.5,6132290
151,248818,49.65617119575593,-0.5751029561655585,14.609683814766129,6.035840468400991,571911.5,6126004.5
152,28610,60.64258095596445,1.5109926046211797,9.735860084639448,4.320548342530272,529348,6210078
153,33023,52.49690868980006,0.9424128632498636,1.5228715620639761,1.310238591729859,686980,6129447.5
154,2866167,18.108700803580586,0.6434852616739875,5.419205953476501,2.879619438144117,715457,6196603
155,377075,18.1742397445603,-0.4151654183758211,16.612874657222736,5.806394883562823,524135.5,6302619
156,699231,3.12846930971274,0.4902301978434913,1.6478173334952912,1.0677087568585066,491958,6261496.5
157,8447197,23.45859328330766,-0.5914661346485666,19.07685376393202,7.366501461354503,557391.5,6209248
158,1913423,18.717946845138083,-0.33386403335126147,3.7742625494404454,2.319330172366821,649569,6169874
159,15404,52.568729436793035,1.4210998622253541,2.3236557491245122,1.6512510004042238,686784.5,6129451.5
160,37208,35.66278795490351,0.5618745683231694,1.2447889811250477,0.7291978892160205,716486,6193413.5
161,94688,0.589588754124986,-0.14520588933550427,4.74430514679737,2.178685159057937,538224,6098371
162,1981872,19.173935585967172,0.01761440707467088,5.557632792812637,2.823470719567511,534430,6224990
163,202905,25.274439595039926,-0.23624405229855583,13.735986486992823,7.336498094573777,538475.5,6219945.5
164,230124,26.740909927448563,0.775853371836817,9.527891253157769,3.717973038676146,706256,6203610
165,172643,-0.08922227618470362,0.012260394807507888,6.394946044123459,1.7348915966162244,537898.5,6086401
166,200906,17.851689948566836,0.876393578641121,5.851245093356445,2.4243358872142946,541436.5,6229973.5
167,81586,35.17605836373484,-0.5828992042167727,20.480040747498556,7.690028644622399,539794.5,6278202.5
168,1167969,12.348082104111407,0.7757469905980994,7.971441441398705,3.8063088122883038,710348,6186102.5
169,1454842,11.139922942638016,0.4029544615384655,6.644786808974624,3.594953669236063,525521.5,6255166.5
170,61775,37.04955470667476,1.8129633675634338,6.149889974456613,3.0455221838677167,687859.5,6117343
171,2076918,34.80309662423569,-0.41361330223548975,12.662637858257298,4.654090778481372,661366.5,6145735
172,28746,29.10582898054755,0.45309717094362156,5.789939986611785,1.882203201427313,721479,6217039
173,11622,66.25478675381449,0.8322555151658122,3.8317067129094085,2.2308937761004577,583502.5,6109000
174,107214,39.39089043104545,-0.2671758229315415,4.334057379204992,2.1448227283434376,599842,6104117
175,236358,25.4786986903984,-0.3391001374479856,3.8458148619755654,1.5411023819896397,526454.5,6153086.5
176,286750,18.765661705431906,0.8131126580680466,2.2517600641355138,1.6810710845355843,523120.5,6121661
177,26908,99.3028631591797,1.0103087224936473,2.9481075920210316,1.7371675217647433,725773.5,6097872
178,23792,19.40050193786621,-0.07604339599609489,3.692217125064955,1.7392618680803267,715104,6186813
179,182574,67.85498701463601,0.36982399999489246,0.8852827889157027,0.653536782380031,530512,6203768
180,3724383,50.1915885475635,-1.315645200554819,18.920449199082352,8.033760052834085,564484.5,6212466.5
181,324730,64.29824173902124,0.46309077669725696,7.596897179326284,3.236053615692405,552928.5,6295993
