lake_id,area,elev,min_depth,max_depth,mean_depth,x,y,partition
195,6619688,6.919451548537848,-1.3974010210422303,21.18718596045177,9.626270906727184,663860.5,6137346.5,train
56,3422518,9.255220152978138,-1.932408998252788,31.282148165945,12.953967106708332,521528.0,6248696.5,train
72,1319417,0.25018258845873,0.4934179294155552,2.3774124137106685,1.5263210120584572,450724.5,6234729.0,train
53,1858337,26.19525332431483,1.6549212331483538,6.471930510338464,3.4622385741019923,717056.0,6214927.0,train
37,4185468,3.0761198205917304,-0.292991400446319,11.123391654808229,3.6004749635123257,494967.5,6261747.5,train
26,116587,42.37417319698308,0.5841923662879225,2.835111632188749,1.447550784106089,543242.5,6201987.5,train
13,300021,29.147396901610552,0.1275801476935179,6.847244419060132,3.670183543238368,704893.0,6190703.5,train
101,387038,11.732677105799723,1.0920835770521649,3.999940850718163,1.9867316724045256,527513.5,6260522.0,train
39,956463,48.03136516556139,-0.0546552155902304,11.124595262850375,5.552660086420151,525200.5,6176542.0,train
29,135640,31.469134096135484,0.0895819787193303,1.6429123827251253,0.9502511276047836,689821.5,6152966.5,train
28,752958,26.499231022882757,-0.0283388752284103,11.672914094794583,7.083964430405437,701559.5,6191215.0,train
62,528424,7.529500673331467,1.4366342920877582,4.204214677680162,2.41024372375898,667233.0,6068645.0,train
124,146954,49.11335862707231,0.2979185649277838,1.2583957939668622,0.8311553808159706,690854.5,6131072.5,train
96,362715,57.35188196984776,1.100916531263536,8.761242094096659,4.689434583264805,532677.0,6208164.0,train
22,1945942,20.914130275779943,-0.80168956431514,14.976445080445895,4.657619797757086,537990.5,6220729.0,train
46,234114,10.762966773133137,1.584087309063143,2.893483347995682,2.141649734309732,670230.0,6136826.5,train
139,1900640,10.861289223541172,0.264506136988837,3.2033374722039136,1.038076329757463,665215.0,6066614.0,train
40,9345405,20.332436435672516,0.7367264641534277,38.190796954927606,13.680341279240956,714397.0,6189289.0,train
198,4764782,12.259500265268942,-1.874376544434817,19.53925409861981,6.678604800743735,473188.5,6319100.0,train
131,1225155,11.202128366568072,-0.8688683631371266,12.801481998861728,7.1167185108689255,526280.5,6257259.5,train
207,181863,1.0667462718462752,0.8753724897245321,2.36153104034114,1.562436870940919,645879.0,6082240.0,train
63,249310,3.5445203642965604,0.5490619189018302,5.818503651078886,2.088253927297768,493251.5,6257369.0,train
35,17369426,9.259001282315417,-0.8291868890713019,22.53211466029545,13.490988288579178,711098.0,6211276.5,train
142,835042,55.94535173196844,-0.5145728105099678,8.770124302629313,4.180700593301061,522838.5,6198616.0,train
130,680419,40.69117665440618,-0.0804673415684362,5.412087556045755,1.9383675065581625,587906.0,6111952.5,train
162,1981872,19.17393558596717,0.0176144070746708,5.557632792812637,2.823470719567511,534430.0,6224990.0,train
134,3532909,1.312408883908726,0.3987676189347116,2.59599573703774,1.1557438227184529,464451.5,6301929.5,train
183,671521,55.98156791547582,-1.690543375322747,23.565671514890383,9.730932138655849,689641.5,6131996.0,train
171,2076918,34.80309662423569,-0.4136133022354897,12.662637858257298,4.654090778481372,661366.5,6145735.0,train
122,539444,36.00107381495675,-0.8611514547261123,10.622658357234297,4.84116262157426,513555.0,6135351.5,train
99,112531,21.09393664284077,0.592598842575633,4.881949375841746,2.0691420136536687,546617.0,6216750.0,train
95,173031,25.642769963711125,-0.0486267927573642,4.842431587453671,2.5446423940105323,575723.5,6143718.0,train
194,1875223,32.43618829359071,0.1309648286248901,18.444983053114264,7.973929503324241,663373.0,6147861.5,train
48,100338,64.9466386638252,2.10668763221868,4.049218653423466,3.13181646025978,680122.5,6157996.5,train
