metric,value,step,init_features
val_loss,0.37434980273246765,249.0,4
val_loss,0.1274474412202835,499.0,4
val_loss,0.11610615998506546,749.0,4
val_loss,0.10605832189321518,999.0,4
val_loss,0.10625739395618439,1249.0,4
val_loss,0.10452473908662796,1499.0,4
val_loss,0.10360744595527649,1749.0,4
val_loss,0.10357983410358429,1999.0,4
val_loss,0.10284599661827087,2249.0,4
val_loss,0.10030137747526169,2499.0,4
val_loss,0.09961004555225372,2749.0,4
val_loss,0.0988289937376976,2999.0,4
val_loss,0.09757377207279205,3249.0,4
val_loss,0.09731072187423706,3499.0,4
val_loss,0.09838157892227173,3749.0,4
val_loss,0.09498611092567444,3999.0,4
val_loss,0.09715589135885239,4249.0,4
val_loss,0.09414639323949814,4499.0,4
val_loss,0.09181252121925354,4749.0,4
val_loss,0.09419745206832886,4999.0,4
val_loss,0.09321942180395126,5249.0,4
val_loss,0.09016533941030502,5499.0,4
val_loss,0.09087474644184113,5749.0,4
val_loss,0.08906973153352737,5999.0,4
val_loss,0.0896274521946907,6249.0,4
val_loss,0.08811026066541672,6499.0,4
val_loss,0.08692700415849686,6749.0,4
val_loss,0.08828292042016983,6999.0,4
val_loss,0.08760781586170197,7249.0,4
val_loss,0.08601303398609161,7499.0,4
val_loss,0.08755143731832504,7749.0,4
val_loss,0.08651835471391678,7999.0,4
val_loss,0.08971486240625381,8249.0,4
val_loss,0.08559459447860718,8499.0,4
val_loss,0.08747348189353943,8749.0,4
val_loss,0.08964711427688599,8999.0,4
val_loss,0.08583062142133713,9249.0,4
val_loss,0.08458037674427032,9499.0,4
val_loss,0.08487028628587723,9749.0,4
val_loss,0.0835082083940506,9999.0,4
val_loss,0.08339221775531769,10249.0,4
val_loss,0.0851982906460762,10499.0,4
val_loss,0.08338482677936554,10749.0,4
val_loss,0.08384252339601517,10999.0,4
val_loss,0.08408088982105255,11249.0,4
val_loss,0.08446253836154938,11499.0,4
val_loss,0.0825996845960617,11749.0,4
val_loss,0.08282262831926346,11999.0,4
val_loss,0.08275898545980453,12249.0,4
val_loss,0.08222292363643646,12499.0,4
val_loss,0.08268509805202484,12749.0,4
val_loss,0.08333899080753326,12999.0,4
val_loss,0.08193004876375198,13249.0,4
val_loss,0.08295132219791412,13499.0,4
val_loss,0.08230143040418625,13749.0,4
val_loss,0.08111114054918289,13999.0,4
val_loss,0.08250099420547485,14249.0,4
val_loss,0.08136069029569626,14499.0,4
