buffer,partition,lake_id,mode,rmse,mae,corr
33,train,195,telea,16.288251876831055,14.377839088439941,-0.6001855083703351
33,train,195,ns,12.378621101379395,10.739789962768555,-0.10127675713177318
33,train,195,linear,11.88821524446192,10.221108144010804,-0.08103762000934359
33,train,195,cubic,10.640968648517442,7.615787121412046,0.48739681221390424
33,train,56,telea,23.16900062561035,20.336519241333008,-0.5072642711839185
33,train,56,ns,19.615814208984375,16.946598052978516,-0.25872438337168263
33,train,56,linear,18.760419375641558,16.1557145938696,-0.3398344683839835
33,train,56,cubic,13.229981360043581,8.755074936985364,0.7262914452499897
33,train,72,telea,4.145519256591797,3.788403034210205,-0.4894652611177746
33,train,72,ns,1.8607629537582397,1.8282737731933594,-0.14372535064208086
33,train,72,linear,1.875109038233574,1.841997010766403,-0.2208695225037461
33,train,72,cubic,3.214485155711832,2.760664290265238,-0.3832607623900945
33,train,53,telea,6.126461982727051,5.707256317138672,-0.5595537060182527
33,train,53,ns,3.7953121662139893,3.6679956912994385,0.022626455960990912
33,train,53,linear,3.756155041911734,3.619550082679514,-0.19687221454900158
33,train,53,cubic,3.3387657355250564,3.023895299848274,-0.09491406448544563
33,train,37,telea,7.585817813873291,7.022517681121826,-0.37869597305995534
33,train,37,ns,4.776453971862793,4.394048690795898,0.09629841378796503
33,train,37,linear,4.420461015118459,4.032234710706496,0.05443017309490744
33,train,37,cubic,7.356971330588038,5.2505636164520935,-0.0026464631753853603
33,train,26,telea,5.239923477172852,4.71375036239624,-0.4834216087153433
33,train,26,ns,3.7059738636016846,3.2531685829162598,-0.4746327792450908
33,train,26,linear,3.0243176677509607,2.780604648034624,-0.36475879334953404
33,train,26,cubic,4.118801455305068,3.0155587225135343,0.5252969297962745
33,train,13,telea,6.911401748657227,6.491675853729248,-0.31021991792489734
33,train,13,ns,5.14136266708374,4.763308525085449,-0.22181300491197295
33,train,13,linear,4.782055632935033,4.4114752366236765,-0.23849527001813087
33,train,13,cubic,2.1672987761877995,1.6711583940512411,0.567119055681993
33,train,101,telea,4.228257179260254,3.958590030670166,-0.30899135426795354
33,train,101,ns,2.3640053272247314,2.285956621170044,-0.03761207230812988
33,train,101,linear,2.2734280607031563,2.1920983061156996,-0.35426413475438
33,train,101,cubic,1.9790476541855722,1.795593809954541,0.07837917330195275
33,train,39,telea,9.801421165466309,9.122258186340332,-0.5623075085750959
33,train,39,ns,7.307957649230957,6.80007266998291,-0.1920167426829486
33,train,39,linear,7.08322024959821,6.571768299685551,-0.2579495849588613
33,train,39,cubic,4.205819786993665,3.5700719360967463,0.6419286603223624
33,train,29,telea,2.91231107711792,2.6302645206451416,-0.37958532457504895
33,train,29,ns,1.400956392288208,1.3134936094284058,-0.48716370477191895
33,train,29,linear,1.2807057181956008,1.2104438657918188,-0.2692457153143709
33,train,29,cubic,1.1489673716527518,0.871311863122039,0.5520547942845374
33,train,28,telea,11.477582931518555,10.631312370300293,-0.4592552643775014
33,train,28,ns,9.149260520935059,8.391449928283691,-0.2285340832470869
33,train,28,linear,8.533280235400458,7.774418961392332,-0.26534248469527905
33,train,28,cubic,4.936138436564037,3.8932279990305823,0.5807743339731057
33,train,62,telea,5.1667351722717285,5.001699924468994,-0.2371649030767519
33,train,62,ns,3.394146680831909,3.3248140811920166,-0.16035314874217332
33,train,62,linear,3.153757821258299,3.0934869307999975,-0.23994758919506595
33,train,62,cubic,1.8884732138567484,1.5994068429365047,0.22566925245651018
33,train,124,telea,3.421886444091797,3.191694974899292,-0.17782503234755637
33,train,124,ns,1.5861026048660278,1.4982339143753052,0.19878851061741304
33,train,124,linear,1.1984640089639162,1.1581937258192958,0.418976755647625
33,train,124,cubic,1.6973547594438956,1.2390550727062692,0.3635074178398365
33,train,96,telea,8.702860832214355,8.369706153869629,-0.04249173951919397
33,train,96,ns,6.883080005645752,6.56685209274292,0.051607966045122154
33,train,96,linear,6.058880063894968,5.749939864038219,0.1283997610511378
33,train,96,cubic,3.4313813315062305,2.6819531808992605,0.581645370336785
33,train,22,telea,9.768428802490234,9.051735877990723,-0.2432164094968876
33,train,22,ns,7.352651119232178,6.738368511199951,0.02499782207957121
33,train,22,linear,6.705981635065478,6.1418027498954935,0.09036144810740011
33,train,22,cubic,9.039193172280765,5.961467692642892,0.43162565057168345
33,train,46,telea,4.237955093383789,3.95516037940979,-0.5586213973894671
33,train,46,ns,2.7584686279296875,2.6352882385253906,-0.6111340201405897
33,train,46,linear,2.6130241335590996,2.52612648882606,-0.6708908213429734
33,train,46,cubic,1.8988845085266048,1.7383471914483788,0.721350909270691
33,train,139,telea,3.388410806655884,3.105494260787964,-0.07912293399335503
33,train,139,ns,1.420220136642456,1.341410517692566,-0.21268709220645177
33,train,139,linear,1.348392748194729,1.2850112683965322,-0.14464504612317047
33,train,139,cubic,1.1600710243237715,0.9452058586885493,0.10962187855299135
33,train,40,telea,26.214645385742188,22.202983856201172,-0.7132066081856234
33,train,40,ns,20.128793716430664,16.71628761291504,-0.34349810506422485
33,train,40,linear,19.345167139753894,15.96376745866419,-0.3141703809813919
33,train,40,cubic,48.36443393446314,31.462266472596035,0.5501255290169126
33,train,198,telea,15.103185653686523,12.610092163085938,-0.8556743779371604
33,train,198,ns,9.440531730651855,7.647622585296631,-0.27858188689024327
33,train,198,linear,9.280428130120008,7.450805516490806,-0.511977351601578
33,train,198,cubic,52.89075793689518,29.04733595496649,0.6444208968151385
33,train,131,telea,12.8585844039917,11.714505195617676,-0.5710787127274111
33,train,131,ns,9.855660438537598,8.888130187988281,-0.21709277570452437
33,train,131,linear,9.318518423721159,8.390150029492709,-0.21115338410206827
33,train,131,cubic,14.086420280706019,7.647202318398047,0.5602021002571681
33,train,207,telea,3.3046000003814697,3.063988447189331,-0.014305375348631669
33,train,207,ns,1.746683120727539,1.7005716562271118,0.20478267232788702
33,train,207,linear,1.6223230917224112,1.579235146002047,0.13882386094431692
33,train,207,cubic,1.4470459477681163,1.2265689690269272,0.1895917614089872
33,train,63,telea,4.413564682006836,4.0897698402404785,-0.31813882055740356
33,train,63,ns,2.691492795944214,2.526782512664795,-0.10813064196102974
33,train,63,linear,2.6236243020378236,2.4488888078398685,-0.29627994831571947
