metric,value,step,buffer,weights,init_features
val_loss,0.8301681280136108,11.0,33,random,4
val_loss,0.8244571089744568,23.0,33,random,4
val_loss,0.8197603821754456,35.0,33,random,4
val_loss,0.8153623938560486,47.0,33,random,4
val_loss,0.8110882639884949,59.0,33,random,4
val_loss,0.8068311810493469,71.0,33,random,4
val_loss,0.8022376298904419,83.0,33,random,4
val_loss,0.7966827750205994,95.0,33,random,4
val_loss,0.7903235554695129,107.0,33,random,4
val_loss,0.7710105776786804,119.0,33,random,4
val_loss,0.5676606297492981,131.0,33,random,4
val_loss,0.47752121090888977,143.0,33,random,4
val_loss,0.5180037021636963,155.0,33,random,4
val_loss,0.4750193655490875,167.0,33,random,4
val_loss,0.5178587436676025,179.0,33,random,4
val_loss,0.47324541211128235,191.0,33,random,4
val_loss,0.47699859738349915,203.0,33,random,4
val_loss,0.4897681772708893,215.0,33,random,4
val_loss,0.49285340309143066,227.0,33,random,4
val_loss,0.4787524938583374,239.0,33,random,4
val_loss,0.4732941687107086,251.0,33,random,4
val_loss,0.47091543674468994,263.0,33,random,4
val_loss,0.46757277846336365,275.0,33,random,4
val_loss,0.4900113046169281,287.0,33,random,4
val_loss,0.47369104623794556,299.0,33,random,4
val_loss,0.4791554808616638,311.0,33,random,4
val_loss,0.4610140919685364,323.0,33,random,4
val_loss,0.4826432764530182,335.0,33,random,4
val_loss,0.458147794008255,347.0,33,random,4
val_loss,0.46278926730155945,359.0,33,random,4
val_loss,0.357822448015213,371.0,33,random,4
val_loss,0.1740286499261856,383.0,33,random,4
val_loss,0.20129111409187317,395.0,33,random,4
val_loss,0.16585035622119904,407.0,33,random,4
val_loss,0.2285294085741043,419.0,33,random,4
val_loss,0.16822917759418488,431.0,33,random,4
val_loss,0.18458102643489838,443.0,33,random,4
val_loss,0.16918034851551056,455.0,33,random,4
val_loss,0.2004188597202301,467.0,33,random,4
val_loss,0.14954233169555664,479.0,33,random,4
val_loss,0.13549581170082092,491.0,33,random,4
val_loss,0.2287677377462387,503.0,33,random,4
val_loss,0.12176422029733658,515.0,33,random,4
val_loss,0.12120883166790009,527.0,33,random,4
val_loss,0.1394818276166916,539.0,33,random,4
val_loss,0.1139177605509758,551.0,33,random,4
val_loss,0.09783416986465454,563.0,33,random,4
val_loss,0.0950077548623085,575.0,33,random,4
val_loss,0.10436639189720154,587.0,33,random,4
val_loss,0.09085708111524582,599.0,33,random,4
val_loss,0.11575956642627716,611.0,33,random,4
val_loss,0.09345327317714691,623.0,33,random,4
val_loss,0.0965140163898468,635.0,33,random,4
val_loss,0.09965592622756958,647.0,33,random,4
val_loss,0.09835658222436905,659.0,33,random,4
val_loss,0.11557898670434952,671.0,33,random,4
val_loss,0.09358641505241394,683.0,33,random,4
val_loss,0.10009289532899857,695.0,33,random,4
val_loss,0.11188598722219467,707.0,33,random,4
val_loss,0.115485280752182,719.0,33,random,4
val_loss,0.10355615615844727,731.0,33,random,4
val_loss,0.10317430645227432,743.0,33,random,4
val_loss,0.09865793585777283,755.0,33,random,4
val_loss,0.10308557748794556,767.0,33,random,4
val_loss,0.09680799394845963,779.0,33,random,4
val_loss,0.10015840828418732,791.0,33,random,4
val_loss,0.09612581133842468,803.0,33,random,4
val_loss,0.09909121692180634,815.0,33,random,4
val_loss,0.09748325496912003,827.0,33,random,4
val_loss,0.10456236451864243,839.0,33,random,4
val_loss,0.10531370341777802,851.0,33,random,4
val_loss,0.11565050482749939,863.0,33,random,4
val_loss,0.09969950467348099,875.0,33,random,4
val_loss,0.11986071616411209,887.0,33,random,4
val_loss,0.1343279480934143,899.0,33,random,4
val_loss,0.09890618175268173,911.0,33,random,4
val_loss,0.09806536138057709,923.0,33,random,4
val_loss,0.10423775017261505,935.0,33,random,4
val_loss,0.10457511246204376,947.0,33,random,4
val_loss,0.10249298065900803,959.0,33,random,4
val_loss,0.09521839767694473,971.0,33,random,4
val_loss,0.09292905032634735,983.0,33,random,4
val_loss,0.09335406124591827,995.0,33,random,4
val_loss,0.09917660057544708,1007.0,33,random,4
val_loss,0.09956631064414978,1019.0,33,random,4
val_loss,0.08821522444486618,1031.0,33,random,4
val_loss,0.08794505149126053,1043.0,33,random,4
val_loss,0.08796057850122452,1055.0,33,random,4
val_loss,0.08683285862207413,1067.0,33,random,4
val_loss,0.08596459776163101,1079.0,33,random,4
val_loss,0.08717690408229828,1091.0,33,random,4
val_loss,0.09047592431306839,1103.0,33,random,4
val_loss,0.08875680714845657,1115.0,33,random,4
val_loss,0.11089464277029037,1127.0,33,random,4
val_loss,0.10631528496742249,1139.0,33,random,4
val_loss,0.09005198627710342,1151.0,33,random,4
val_loss,0.09342562407255173,1163.0,33,random,4
val_loss,0.09059194475412369,1175.0,33,random,4
val_loss,0.09930362552404404,1187.0,33,random,4
val_loss,0.08388582617044449,1199.0,33,random,4
val_loss,0.09007954597473145,1211.0,33,random,4
val_loss,0.08807851374149323,1223.0,33,random,4
val_loss,0.08321715146303177,1235.0,33,random,4
val_loss,0.10835995525121689,1247.0,33,random,4
val_loss,0.08513381332159042,1259.0,33,random,4
val_loss,0.09183350950479507,1271.0,33,random,4
val_loss,0.09849023818969727,1283.0,33,random,4
val_loss,0.07676754146814346,1295.0,33,random,4
val_loss,0.07612476497888565,1307.0,33,random,4
val_loss,0.0846175104379654,1319.0,33,random,4
val_loss,0.07726726680994034,1331.0,33,random,4
val_loss,0.09471079707145691,1343.0,33,random,4
val_loss,0.07613349705934525,1355.0,33,random,4
val_loss,0.08319425582885742,1367.0,33,random,4
val_loss,0.09851343184709549,1379.0,33,random,4
val_loss,0.08426690846681595,1391.0,33,random,4
val_loss,0.08146874606609344,1403.0,33,random,4
val_loss,0.08970870822668076,1415.0,33,random,4
val_loss,0.07634134590625763,1427.0,33,random,4
val_loss,0.07624617218971252,1439.0,33,random,4
val_loss,0.08515959233045578,1451.0,33,random,4
val_loss,0.07718880474567413,1463.0,33,random,4
val_loss,0.07830243557691574,1475.0,33,random,4
val_loss,0.09242044389247894,1487.0,33,random,4
val_loss,0.07668150216341019,1499.0,33,random,4
val_loss,0.07776560634374619,1511.0,33,random,4
val_loss,0.08651049435138702,1523.0,33,random,4
val_loss,0.08619549870491028,1535.0,33,random,4
val_loss,0.07167651504278183,1547.0,33,random,4
val_loss,0.07601815462112427,1559.0,33,random,4
val_loss,0.07885446399450302,1571.0,33,random,4
val_loss,0.08843051642179489,1583.0,33,random,4
val_loss,0.07517576962709427,1595.0,33,random,4
val_loss,0.07932212203741074,1607.0,33,random,4
val_loss,0.09463650733232498,1619.0,33,random,4
val_loss,0.07338467985391617,1631.0,33,random,4
val_loss,0.08229535073041916,1643.0,33,random,4
val_loss,0.07640138268470764,1655.0,33,random,4
val_loss,0.0696205198764801,1667.0,33,random,4
val_loss,0.07283880561590195,1679.0,33,random,4
val_loss,0.08683561533689499,1691.0,33,random,4
val_loss,0.07210861891508102,1703.0,33,random,4
val_loss,0.07540633529424667,1715.0,33,random,4
val_loss,0.07127101719379425,1727.0,33,random,4
val_loss,0.07094395905733109,1739.0,33,random,4
val_loss,0.07058457285165787,1751.0,33,random,4
val_loss,0.07831844687461853,1763.0,33,random,4
val_loss,0.08161623775959015,1775.0,33,random,4
val_loss,0.09000100195407867,1787.0,33,random,4
val_loss,0.06987625360488892,1799.0,33,random,4
val_loss,0.07493145018815994,1811.0,33,random,4
val_loss,0.0715237706899643,1823.0,33,random,4
val_loss,0.07200130075216293,1835.0,33,random,4
val_loss,0.07284706830978394,1847.0,33,random,4
val_loss,0.0687408596277237,1859.0,33,random,4
val_loss,0.06956606358289719,1871.0,33,random,4
val_loss,0.06710884720087051,1883.0,33,random,4
val_loss,0.06557639688253403,1895.0,33,random,4
val_loss,0.06807240098714828,1907.0,33,random,4
val_loss,0.07168936729431152,1919.0,33,random,4
val_loss,0.07917448878288269,1931.0,33,random,4
val_loss,0.08483104407787323,1943.0,33,random,4
val_loss,0.06593646109104156,1955.0,33,random,4
val_loss,0.09534274786710739,1967.0,33,random,4
val_loss,0.06982418894767761,1979.0,33,random,4
val_loss,0.07323008030653,1991.0,33,random,4
val_loss,0.08332754671573639,2003.0,33,random,4
val_loss,0.07438420504331589,2015.0,33,random,4
val_loss,0.0648140013217926,2027.0,33,random,4
val_loss,0.08049334585666656,2039.0,33,random,4
val_loss,0.0757751390337944,2051.0,33,random,4
val_loss,0.06766004115343094,2063.0,33,random,4
val_loss,0.06835521012544632,2075.0,33,random,4
val_loss,0.06327595561742783,2087.0,33,random,4
val_loss,0.06252918392419815,2099.0,33,random,4
val_loss,0.0664215236902237,2111.0,33,random,4
val_loss,0.06282196193933487,2123.0,33,random,4
val_loss,0.06357812881469727,2135.0,33,random,4
val_loss,0.06847556680440903,2147.0,33,random,4
val_loss,0.06435937434434891,2159.0,33,random,4
val_loss,0.061974894255399704,2171.0,33,random,4
val_loss,0.06268124282360077,2183.0,33,random,4
val_loss,0.06514255702495575,2195.0,33,random,4
val_loss,0.07798346132040024,2207.0,33,random,4
val_loss,0.06626983731985092,2219.0,33,random,4
